X_(px),Y_deviation_(px)
2853,321.338
2856,321.338
2862,321.338
2865,321.338
2868,324.338
2871,324.338
2874,324.338
2877,324.338
2880,324.338
2883,324.338
2886,324.338
2886,327.338
2889,327.338
2892,327.338
2895,327.338
2898,327.338
2901,327.338
2907,327.338
2910,327.338
2919,327.338
2922,327.338
2928,330.338
2937,330.338
2940,330.338
2943,330.338
2952,330.338
2955,330.338
2958,330.338
2961,330.338
2964,330.338
2967,330.338
2970,330.338
2973,330.338
2976,330.338
2979,330.338
2982,330.338
2985,330.338
2988,330.338
2991,333.338
2994,333.338
2997,333.338
3000,333.338
3000,336.338
3003,336.338
3006,336.338
3009,336.338
3009,339.338
3012,339.338
3015,339.338
3018,339.338
3021,339.338
3024,339.338
3024,342.338
3027,342.338
3036,342.338
3039,342.338
3042,342.338
3048,342.338
3054,342.338
3060,342.338
3063,345.338
3066,345.338
3072,345.338
3075,345.338
3078,345.338
3081,345.338
3084,342.338
3087,342.338
3088,339.338
3088,336.338
3088,333.338
3088,330.338
