X_(px),Y_deviation_(px)
505.000,-16.948
506.000,-16.948
507.000,-16.948
508.000,-16.948
509.000,-16.948
510.000,-16.948
511.000,-16.948
512.000,-16.948
513.000,-16.948
514.000,-16.948
515.000,-16.948
516.000,-16.948
517.000,-16.948
518.000,-16.948
519.000,-16.948
520.000,-16.948
521.000,-16.948
522.000,-16.948
523.000,-16.948
524.000,-16.948
524.707,-17.655
525.414,-18.362
526.121,-19.070
526.828,-19.777
527.536,-20.484
528.421,-20.948
529.421,-20.948
530.421,-20.948
531.421,-20.948
532.356,-21.304
533.063,-22.011
533.770,-22.718
534.477,-23.425
535.184,-24.132
535.891,-24.839
536.000,-25.834
536.000,-26.834
536.000,-27.834
536.000,-28.834
536.993,-28.948
537.993,-28.948
538.993,-28.948
539.993,-28.948
540.993,-28.948
541.993,-28.948
542.993,-28.948
543.993,-28.948
544.704,-29.652
545.411,-30.359
546.118,-31.066
546.825,-31.773
547.532,-32.480
548.416,-32.948
549.416,-32.948
550.416,-32.948
551.416,-32.948
552.416,-32.948
553.416,-32.948
554.416,-32.948
555.416,-32.948
556.416,-32.948
557.416,-32.948
558.416,-32.948
559.416,-32.948
560.416,-32.948
561.416,-32.948
562.416,-32.948
563.416,-32.948
564.416,-32.948
565.416,-32.948
566.416,-32.948
567.416,-32.948
568.416,-32.948
569.416,-32.948
570.416,-32.948
571.416,-32.948
572.416,-32.948
573.416,-32.948
574.416,-32.948
575.416,-32.948
576.416,-32.948
577.416,-32.948
578.416,-32.948
579.416,-32.948
580.416,-32.948
581.416,-32.948
582.416,-32.948
583.416,-32.948
584.416,-32.948
585.416,-32.948
586.416,-32.948
587.416,-32.948
588.416,-32.948
589.416,-32.948
590.416,-32.948
591.416,-32.948
592.416,-32.948
593.416,-32.948
594.416,-32.948
595.416,-32.948
596.416,-32.948
597.416,-32.948
598.416,-32.948
599.416,-32.948
600.416,-32.948
601.416,-32.948
602.416,-32.948
603.416,-32.948
604.416,-32.948
605.416,-32.948
606.416,-32.948
607.416,-32.948
608.000,-32.136
608.000,-31.136
608.000,-30.136
608.000,-29.136
608.982,-28.948
609.982,-28.948
610.982,-28.948
611.982,-28.948
612.982,-28.948
613.982,-28.948
614.982,-28.948
615.982,-28.948
616.982,-28.948
617.982,-28.948
618.982,-28.948
619.982,-28.948
620.000,-27.948
620.000,-26.948
620.000,-25.948
620.000,-24.948
620.707,-24.241
621.414,-23.534
622.121,-22.827
622.828,-22.120
623.535,-21.413
624.000,-20.527
624.000,-19.527
624.000,-18.527
624.000,-17.527
624.815,-16.948
625.815,-16.948
626.815,-16.948
627.815,-16.948
628.000,-15.965
628.000,-14.965
628.000,-13.965
628.000,-12.965
629.000,-12.948
630.000,-12.948
631.000,-12.948
632.000,-12.948
632.000,-11.948
632.000,-10.948
632.000,-9.948
632.000,-8.948
632.000,-7.948
632.000,-6.948
632.000,-5.948
632.000,-4.948
633.000,-4.948
634.000,-4.948
635.000,-4.948
636.000,-4.948
637.000,-4.948
638.000,-4.948
639.000,-4.948
640.000,-4.948
641.000,-4.948
642.000,-4.948
643.000,-4.948
644.000,-4.948
645.000,-4.948
646.000,-4.948
647.000,-4.948
648.000,-4.948
648.000,-5.948
648.000,-6.948
648.000,-7.948
648.000,-8.948
649.000,-8.948
650.000,-8.948
651.000,-8.948
652.000,-8.948
653.000,-8.948
654.000,-8.948
655.000,-8.948
656.000,-8.948
656.000,-7.948
656.000,-6.948
656.000,-5.948
656.000,-4.948
657.000,-4.948
658.000,-4.948
659.000,-4.948
660.000,-4.948
661.000,-4.948
662.000,-4.948
663.000,-4.948
664.000,-4.948
664.707,-4.241
665.414,-3.534
666.121,-2.827
666.828,-2.120
667.536,-1.413
668.421,-0.948
669.421,-0.948
670.421,-0.948
671.421,-0.948
672.421,-0.948
673.421,-0.948
674.421,-0.948
675.421,-0.948
676.000,-1.764
676.000,-2.764
676.000,-3.764
676.000,-4.764
676.983,-4.948
677.983,-4.948
678.983,-4.948
679.983,-4.948
680.698,-5.647
681.406,-6.354
682.113,-7.061
682.820,-7.768
683.527,-8.475
684.000,-9.356
684.000,-10.356
684.000,-11.356
684.000,-12.356
684.000,-13.356
684.000,-14.356
684.000,-15.356
684.000,-16.356
684.000,-17.356
684.000,-18.356
684.000,-19.356
684.000,-20.356
684.806,-20.948
685.806,-20.948
686.806,-20.948
687.806,-20.948
688.000,-21.929
688.000,-22.929
688.000,-23.929
688.000,-24.929
688.000,-25.929
688.000,-26.929
688.000,-27.929
688.000,-28.929
688.000,-29.929
688.000,-30.929
688.000,-31.929
688.000,-32.929
688.000,-33.929
688.000,-34.929
688.000,-35.929
688.000,-36.929
689.000,-36.948
690.000,-36.948
691.000,-36.948
692.000,-36.948
693.000,-36.948
694.000,-36.948
695.000,-36.948
696.000,-36.948
696.000,-37.948
696.000,-38.948
696.000,-39.948
696.000,-40.948
696.000,-41.948
696.000,-42.948
696.000,-43.948
696.000,-44.948
697.000,-44.948
698.000,-44.948
699.000,-44.948
700.000,-44.948
700.000,-45.948
700.000,-46.948
700.000,-47.948
700.000,-48.948
701.000,-48.948
702.000,-48.948
703.000,-48.948
704.000,-48.948
705.000,-48.948
706.000,-48.948
