Reduc.:Si Powder-Reduc.,,Silicon,,
2θ - °,Intensity - cps,2θ - °,Y,Intensity - cps
7.17999982833862,28.2397918701172,,,
7.19000005722046,28.4255409240723,,,
7.19999980926514,28.6523532867432,,,
7.21000003814697,28.9195957183838,,,
7.21999979019165,29.2266368865967,,,
7.23000001907349,29.572847366333,,,
7.23999977111816,29.9575939178467,,,
7.25,30.3802452087402,,,
7.26000022888184,30.8401699066162,,,
7.26999998092651,31.3367385864258,,,
7.28000020980835,31.8693180084229,,,
7.28999996185303,32.4372787475586,,,
7.30000019073486,33.0399894714355,,,
7.30999994277954,33.676815032959,,,
7.32000017166138,34.3471260070801,,,
7.32999992370605,35.0502967834473,,,
7.34000015258789,35.7856864929199,,,
7.34999990463257,36.5526733398438,,,
7.3600001335144,37.3506202697754,,,
7.36999988555908,38.1788940429688,,,
7.38000011444092,39.0368690490723,,,
7.3899998664856,39.9239120483398,,,
7.40000009536743,40.8393898010254,,,
7.40999984741211,41.7826728820801,,,
7.42000007629395,42.7531318664551,,,
7.42999982833862,43.750129699707,,,
7.44000005722046,44.7730407714844,,,
7.44999980926514,45.821231842041,,,
7.46000003814697,46.8940696716309,,,
7.46999979019165,47.9909248352051,,,
7.48000001907349,49.1111679077148,,,
7.48999977111816,50.2541656494141,,,
7.5,51.4192848205566,,,
7.51000022888184,52.6058959960938,,,
7.51999998092651,53.8133697509766,,,
7.53000020980835,55.041072845459,,,
7.53999996185303,56.2883758544922,,,
7.55000019073486,57.5546417236328,,,
7.55999994277954,58.8392486572266,,,
7.57000017166138,60.1415557861328,,,
7.57999992370605,61.4609375,,,
7.59000015258789,62.796760559082,,,
7.59999990463257,64.1483917236328,,,
7.6100001335144,65.5152053833008,,,
7.61999988555908,66.8965682983398,,,
7.63000011444092,68.2918472290039,,,
7.6399998664856,69.7004165649414,,,
7.65000009536743,71.1216354370117,,,
7.65999984741211,72.5548706054688,,,
7.67000007629395,73.9995040893555,,,
7.67999982833862,75.4549026489258,,,
7.69000005722046,76.9204254150391,,,
7.69999980926514,78.3954467773438,,,
7.71000003814697,79.8793334960938,,,
7.71999979019165,81.371452331543,,,
7.73000001907349,82.8711776733398,,,
7.73999977111816,84.3778839111328,,,
7.75,85.8909225463867,,,
7.76000022888184,87.4096755981445,,,
7.76999998092651,88.9335021972656,,,
7.78000020980835,90.461784362793,,,
7.78999996185303,91.9938735961914,,,
7.80000019073486,93.5291519165039,,,
7.80999994277954,95.0669860839844,,,
7.82000017166138,96.6067428588867,,,
7.82999992370605,98.1477890014648,,,
7.84000015258789,99.6894989013672,,,
7.84999990463257,101.231239318848,,,
7.8600001335144,102.772369384766,,,
7.86999988555908,104.312271118164,,,
7.88000011444092,105.850303649902,,,
7.8899998664856,107.385841369629,,,
7.90000009536743,108.918251037598,,,
7.90999984741211,110.446907043457,,,
7.92000007629395,111.971168518066,,,
7.92999982833862,113.49040222168,,,
7.94000005722046,115.00399017334,,,
7.94999980926514,116.511299133301,,,
7.96000003814697,118.011688232422,,,
7.96999979019165,119.504524230957,,,
7.98000001907349,120.989189147949,,,
7.98999977111816,122.465042114258,,,
8,123.931457519531,,,
8.01000022888184,125.387802124023,,,
8.02000045776367,126.833442687988,,,
8.02999973297119,128.26774597168,,,
8.03999996185303,129.690078735352,,,
8.05000019073486,131.099822998047,,,
8.0600004196167,132.496337890625,,,
8.06999969482422,133.878997802734,,,
8.07999992370605,135.247161865234,,,
8.09000015258789,136.600204467773,,,
8.10000038146973,137.9375,,,
8.10999965667725,139.258407592773,,,
8.11999988555908,140.562286376953,,,
8.13000011444092,141.848541259766,,,
8.14000034332275,143.116500854492,,,
8.14999961853027,144.36555480957,,,
8.15999984741211,145.595062255859,,,
8.17000007629395,146.804412841797,,,
8.18000030517578,147.992950439453,,,
