Cu_50% CW{1},
2θ - °,Intensity - cps
1.62000000476837,66.6666641235352
1.62999999523163,33.3333320617676
1.63999998569489,33.3333320617676
1.64999997615814,66.6666641235352
1.6599999666214,133.33332824707
1.66999995708466,83.3333358764648
1.67999994754791,50
1.69000005722046,133.33332824707
1.70000004768372,116.666664123535
1.71000003814697,50
1.72000002861023,100
1.73000001907349,50
1.74000000953674,66.6666641235352
1.75,100
1.75999999046326,66.6666641235352
1.76999998092651,33.3333320617676
1.77999997138977,66.6666641235352
1.78999996185303,66.6666641235352
1.79999995231628,33.3333320617676
1.80999994277954,16.6666660308838
1.82000005245209,100
1.83000004291534,100
1.8400000333786,66.6666641235352
1.85000002384186,33.3333320617676
1.86000001430511,100
1.87000000476837,66.6666641235352
1.87999999523163,83.3333358764648
1.88999998569489,83.3333358764648
1.89999997615814,33.3333320617676
1.9099999666214,16.6666660308838
1.91999995708466,50
1.92999994754791,33.3333320617676
1.94000005722046,33.3333320617676
1.95000004768372,16.6666660308838
1.96000003814697,16.6666660308838
1.97000002861023,83.3333358764648
1.98000001907349,50
1.99000000953674,50
2,66.6666641235352
2.00999999046326,66.6666641235352
2.01999998092651,66.6666641235352
2.02999997138977,100
2.03999996185303,50
2.04999995231628,50
2.05999994277954,66.6666641235352
2.0699999332428,0
2.07999992370605,50
2.08999991416931,83.3333358764648
2.09999990463257,83.3333358764648
2.10999989509583,150
2.11999988555908,150
2.13000011444092,150
2.14000010490417,166.66667175293
2.15000009536743,216.66667175293
2.16000008583069,233.33332824707
2.17000007629395,300
2.1800000667572,416.666656494141
2.19000005722046,516.666687011719
2.20000004768372,650
2.21000003814697,683.333312988281
2.22000002861023,833.333312988281
2.23000001907349,933.333312988281
2.24000000953674,950
2.25,950
2.25999999046326,1116.66662597656
2.26999998092651,1416.66662597656
2.27999997138977,1566.66662597656
2.28999996185303,1633.33337402344
2.29999995231628,1650
2.30999994277954,1883.33337402344
2.3199999332428,2150
2.32999992370605,2266.66674804688
2.33999991416931,2400
2.34999990463257,2183.33325195313
2.35999989509583,1983.33337402344
2.36999988555908,2066.66674804688
2.38000011444092,2183.33325195313
2.39000010490417,2516.66674804688
2.40000009536743,2400
2.41000008583069,2216.66674804688
2.42000007629395,2450
2.4300000667572,2366.66674804688
2.44000005722046,2533.33325195313
2.45000004768372,2516.66674804688
2.46000003814697,2583.33325195313
2.47000002861023,2550
2.48000001907349,2200
2.49000000953674,2250
2.5,2233.33325195313
2.50999999046326,2283.33325195313
2.51999998092651,2083.33325195313
2.52999997138977,2166.66674804688
2.53999996185303,2266.66674804688
2.54999995231628,1966.66662597656
2.55999994277954,2033.33337402344
2.5699999332428,2116.66674804688
2.57999992370605,1966.66662597656
2.58999991416931,1816.66662597656
2.59999990463257,1650
2.60999989509583,1350
2.61999988555908,1216.66662597656
2.63000011444092,1533.33337402344
2.64000010490417,1450
2.65000009536743,1433.33337402344
2.66000008583069,1383.33337402344
2.67000007629395,1383.33337402344
2.6800000667572,1233.33337402344
2.69000005722046,1200
2.70000004768372,983.333312988281
2.71000003814697,883.333312988281
2.72000002861023,900
2.73000001907349,933.333312988281
2.74000000953674,866.666687011719
2.75,700
2.75999999046326,683.333312988281
2.76999998092651,733.333312988281
2.77999997138977,716.666687011719
2.78999996185303,600
2.79999995231628,533.333312988281
2.80999994277954,500
2.8199999332428,650
2.82999992370605,566.666687011719
2.83999991416931,450
2.84999990463257,466.666656494141
2.85999989509583,400
2.86999988555908,416.666656494141
2.88000011444092,450
2.89000010490417,400
2.90000009536743,416.666656494141
2.91000008583069,366.666656494141
2.92000007629395,416.666656494141
2.9300000667572,366.666656494141
2.94000005722046,433.333343505859
2.95000004768372,383.333343505859
2.96000003814697,383.333343505859
2.97000002861023,333.333343505859
2.98000001907349,333.333343505859
2.99000000953674,316.666656494141
3,383.333343505859
3.00999999046326,316.666656494141
3.01999998092651,233.33332824707
3.02999997138977,350
3.03999996185303,333.333343505859
3.04999995231628,333.333343505859
3.05999994277954,333.333343505859
3.0699999332428,450
3.07999992370605,450
3.08999991416931,283.333343505859
3.09999990463257,300
3.10999989509583,350
3.11999988555908,516.666687011719
3.13000011444092,383.333343505859
3.14000010490417,283.333343505859
3.15000009536743,366.666656494141
3.16000008583069,400
3.17000007629395,333.333343505859
3.1800000667572,333.333343505859
3.19000005722046,450
3.20000004768372,500
3.21000003814697,500
3.22000002861023,333.333343505859
3.23000001907349,300
3.24000000953674,383.333343505859
3.25,416.666656494141
3.25999999046326,400
3.26999998092651,350
3.27999997138977,366.666656494141
3.28999996185303,300
3.29999995231628,466.666656494141
3.30999994277954,450
3.3199999332428,400
3.32999992370605,416.666656494141
3.33999991416931,283.333343505859
3.34999990463257,416.666656494141
3.35999989509583,416.666656494141
3.36999988555908,400
3.38000011444092,400
3.39000010490417,350
3.40000009536743,316.666656494141
3.41000008583069,283.333343505859
3.42000007629395,316.666656494141
3.4300000667572,266.666656494141
3.44000005722046,316.666656494141
3.45000004768372,400
3.46000003814697,416.666656494141
3.47000002861023,433.333343505859
3.48000001907349,433.333343505859
3.49000000953674,366.666656494141
3.5,366.666656494141
3.50999999046326,316.666656494141
