Si Wafer,,Si,,
2θ - °,Intensity - cps,2θ - °,Y,Intensity - cps
6.8899998664856,5483.33349609375,,,
6.90000009536743,5666.66650390625,,,
6.90999984741211,5683.33349609375,,,
6.92000007629395,5416.66650390625,,,
6.92999982833862,5783.33349609375,,,
6.94000005722046,5733.33349609375,,,
6.94999980926514,5433.33349609375,,,
6.96000003814697,6000,,,
6.96999979019165,5633.33349609375,,,
6.98000001907349,5533.33349609375,,,
6.98999977111816,5733.33349609375,,,
7,5600,,,
7.01000022888184,5666.66650390625,,,
7.01999998092651,5816.66650390625,,,
7.03000020980835,5350,,,
7.03999996185303,5466.66650390625,,,
7.05000019073486,5783.33349609375,,,
7.05999994277954,5633.33349609375,,,
7.07000017166138,5933.33349609375,,,
7.07999992370605,6066.66650390625,,,
7.09000015258789,6216.66650390625,,,
7.09999990463257,5900,,,
7.1100001335144,5550,,,
7.11999988555908,5800,,,
7.13000011444092,6200,,,
7.1399998664856,5900,,,
7.15000009536743,5850,,,
7.15999984741211,5866.66650390625,,,
7.17000007629395,5833.33349609375,,,
7.17999982833862,5650,,,
7.19000005722046,5783.33349609375,,,
7.19999980926514,6100,,,
7.21000003814697,6283.33349609375,,,
7.21999979019165,6050,,,
7.23000001907349,5850,,,
7.23999977111816,5950,,,
7.25,5566.66650390625,,,
7.26000022888184,5816.66650390625,,,
7.26999998092651,5866.66650390625,,,
7.28000020980835,6100,,,
7.28999996185303,6083.33349609375,,,
7.30000019073486,6266.66650390625,,,
7.30999994277954,6083.33349609375,,,
7.32000017166138,5933.33349609375,,,
7.32999992370605,5916.66650390625,,,
7.34000015258789,6016.66650390625,,,
7.34999990463257,6266.66650390625,,,
7.3600001335144,6033.33349609375,,,
7.36999988555908,6233.33349609375,,,
7.38000011444092,6566.66650390625,,,
7.3899998664856,6000,,,
7.40000009536743,5966.66650390625,,,
7.40999984741211,6083.33349609375,,,
7.42000007629395,5966.66650390625,,,
7.42999982833862,6200,,,
7.44000005722046,6366.66650390625,,,
7.44999980926514,6450,,,
7.46000003814697,6233.33349609375,,,
7.46999979019165,6266.66650390625,,,
7.48000001907349,6183.33349609375,,,
7.48999977111816,6133.33349609375,,,
7.5,6533.33349609375,,,
7.51000022888184,5966.66650390625,,,
7.51999998092651,6300,,,
7.53000020980835,6383.33349609375,,,
7.53999996185303,5583.33349609375,,,
7.55000019073486,5933.33349609375,,,
7.55999994277954,6216.66650390625,,,
7.57000017166138,6050,,,
7.57999992370605,6083.33349609375,,,
7.59000015258789,6450,,,
7.59999990463257,6333.33349609375,,,
7.6100001335144,6166.66650390625,,,
7.61999988555908,6016.66650390625,,,
7.63000011444092,6100,,,
7.6399998664856,6183.33349609375,,,
7.65000009536743,6083.33349609375,,,
7.65999984741211,6433.33349609375,,,
7.67000007629395,6383.33349609375,,,
7.67999982833862,6450,,,
7.69000005722046,6883.33349609375,,,
7.69999980926514,6183.33349609375,,,
7.71000003814697,6383.33349609375,,,
7.71999979019165,6016.66650390625,,,
7.73000001907349,6516.66650390625,,,
7.73999977111816,5983.33349609375,,,
7.75,6316.66650390625,,,
7.76000022888184,6283.33349609375,,,
7.76999998092651,6283.33349609375,,,
7.78000020980835,6483.33349609375,,,
7.78999996185303,6316.66650390625,,,
7.80000019073486,6583.33349609375,,,
7.80999994277954,6550,,,
7.82000017166138,6416.66650390625,,,
7.82999992370605,6283.33349609375,,,
7.84000015258789,6216.66650390625,,,
7.84999990463257,6716.66650390625,,,
7.8600001335144,6950,,,
7.86999988555908,6683.33349609375,,,
7.88000011444092,6900,,,
7.8899998664856,6633.33349609375,,,
7.90000009536743,6850,,,
7.90999984741211,7133.33349609375,,,
7.92000007629395,6616.66650390625,,,
7.92999982833862,6650,,,
7.94000005722046,6400,,,
7.94999980926514,6683.33349609375,,,
7.96000003814697,7083.33349609375,,,
7.96999979019165,7000,,,
7.98000001907349,7116.66650390625,,,
7.98999977111816,6933.33349609375,,,
8,7066.66650390625,,,
8.01000022888184,7033.33349609375,,,
8.02000045776367,6833.33349609375,,,
