Engineering Strain 1,Engineering Stress 1 (MPa),Displacement (mm),Force (N),Engineering Strain 2,Engineering Stress 2 (MPa)
,,1.213,8618.786,0.04764336214,960.8457079
,,1.220,8621.979,0.04791830322,961.2016722
,,1.235,8625.510,0.04850746269,961.5953177
,,1.238,8629.322,0.04862529458,962.0202899
,,1.247,8631.557,0.04897879026,962.2694537
,,1.256,8634.422,0.04933228594,962.5888517
,,1.263,8636.774,0.04960722702,962.8510591
,,1.280,8639.086,0.05027494108,963.1088071
,,1.281,8641.958,0.05031421838,963.4289855
,,1.290,8643.956,0.05066771406,963.651728
,,1.295,8647.124,0.05086410055,964.0049052
,,1.305,8650.585,0.05125687353,964.3907469
,,1.311,8652.703,0.05149253731,964.6268673
,,1.326,8655.858,0.05208169678,964.9785953
,,1.332,8656.917,0.05231736057,965.0966555
,,1.342,8658.491,0.05271013354,965.2721293
,,1.350,8661.667,0.05302435192,965.6261984
,,1.360,8664.644,0.0534171249,965.9580825
,,1.369,8665.997,0.05377062058,966.1089186
,,1.375,8669.564,0.05400628437,966.5065775
,,1.378,8671.776,0.05412411626,966.7531773
,,1.390,8674.530,0.05459544383,967.0602007
,,1.400,8676.291,0.05498821681,967.2565217
,,1.406,8678.762,0.0552238806,967.5319955
,,1.418,8680.741,0.05569520817,967.7526198
,,1.427,8681.522,0.05604870385,967.8396878
,,1.433,8684.510,0.05628436764,968.1727982
,,1.445,8686.385,0.05675569521,968.3818283
,,1.454,8688.681,0.05710919089,968.6377926
,,1.466,8691.046,0.05758051846,968.9014493
,,1.473,8692.521,0.05785545954,969.0658863
,,1.479,8694.435,0.05809112333,969.2792642
,,1.488,8695.864,0.05844461901,969.438573
,,1.497,8698.334,0.05879811469,969.7139353
,,1.500,8699.497,0.05891594658,969.8435897
,,1.515,8701.402,0.05950510605,970.0559643
,,1.522,8703.978,0.05978004713,970.3431438
,,1.528,8705.649,0.06001571092,970.5294314
,,1.540,8706.475,0.06048703849,970.6215162
,,1.546,8707.926,0.06072270228,970.7832776
,,1.556,8710.046,0.06111547526,971.019621
,,1.564,8711.443,0.06142969364,971.1753623
,,1.571,8713.874,0.06170463472,971.4463768
,,1.577,8715.933,0.06194029851,971.6759197
,,1.595,8716.517,0.06264728987,971.7410256
,,1.598,8717.789,0.06276512176,971.8828317
,,1.610,8719.417,0.06323644933,972.0643255
,,1.616,8721.305,0.06347211312,972.2748049
,,1.625,8721.636,0.0638256088,972.3117057
,,1.638,8724.304,0.06433621367,972.6091416
,,1.644,8726.127,0.06457187745,972.8123746
,,1.647,8727.741,0.06468970935,972.9923077
,,1.662,8728.730,0.06527886881,973.1025641
,,1.668,8729.776,0.0655145326,973.219175
,,1.680,8731.284,0.06598586017,973.387291
